[2023-11-09.21:44:03] [OK            ] [AELogger]: Created the AELogger instance and opened the log session in the file: "C:/Users/artem/CODING/ACEngine/ACEngine/acengine_log.txt"
[2023-11-09.21:44:03] [INFO          ] [AELogger]: Attempting to start the log-writing thread
[2023-11-09.21:44:03] [SUCCESS       ] [AELogger]: Successfully launched the log-writing thread!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 0(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 5(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 7(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 9(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 9(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 13(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 15(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 17(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 19(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 21(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 23(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 25(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 27(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 29(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 31(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 33(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 35(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 37(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 37(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 41(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 41(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 45(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 47(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 49(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 51(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
[2023-11-09.21:44:03] [INFO          ] [AELogger]: AELogger's status: log file: "acengine_log.txt"; entries written: 53(+1)
[2023-11-09.21:44:03] [INFO          ] [ACEngine]: Successfully have gone through a loop!
